BindingDB Reactant_set_id,Ligand SMILES,IC50 (nM)
51296628,Cn1ncc(Cl)c1-c1cc(oc1Cl)C(=O)N[C@@H]1CN[C@H](CC(=O)NCC(O)CO)C[C@H]1c1ccc(Cl)c(Cl)c1,3.1
29922,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(F)c(Cl)c2)c1,3.1
29947,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2ccc(c(F)c2)C(F)(F)F)c1,3.1
44953,Fc1ccc2N(CC3(CCNCC3)c2c1)c1ncnc2[nH]ccc12,3.1
256523,CC1(O)CC(O)(C1)c1ccc(cc1)-c1nc2-c3ccc(cc3OCn2c1-c1ccccc1)C(O)=O,3.1
256517,CC1(O)CC(N)(C1)c1ccc(cc1)-c1nc2-c3ccc(cc3OCn2c1-c1ccccc1)C(=O)NCCO,3.1
1319273,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c1ncnc2[C@H](O)C[C@@H](C)c12)c1ccc(Cl)cc1,3.2
51296564,Cn1ncc(Cl)c1-c1cc(oc1Cl)C(=O)N[C@@H]1CN[C@H](CC(N)=O)C[C@H]1c1ccc(Cl)c(Cl)c1,3.2
30603,N[C@H](COc1cncc(c1)-c1ccc2NC(=O)Cc2c1)Cc1c[nH]c2ccccc12,3.2
329978,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCN2CCCC2)-c2ccc(F)c(F)c2)c1Cl,3.2
330045,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCN2CCCC2)-c2ccc(F)c(c2)C(F)(F)F)c1C#N,3.2
337097,FC(F)(F)C1CCN(CC1)c1cnc(cc1-n1cnc(c1)C1CC1)C(=O)Nc1csc(n1)-c1nncn1C1CC1,3.2
337100,COC1CCN(CC1)c1cnc(cc1-n1cnc(c1)C1CC1)C(=O)Nc1csc(n1)-c1nncn1C1CC1,3.2
50445393,Nc1nnc2c3cc(-c4ccccc4)c(nc3ccn12)-c1ccc(CN2CCC(CC2)n2cnc(c2)-c2ccccn2)cc1,3.3
50585627,N[C@]1(CNC(=O)c2ccc(Cl)cc2)CCN(C1)c1ncnc2[nH]cc(Cl)c12,3.3
903523,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@H](CCCN1CCCCC1)c1ccc(Cl)cc1,3.3
